Ablation,Val LogLoss,Delta vs baseline
Remove 'rolling',0.6244910415544539,-0.002420731856778713
Remove 'momentum',0.6246304561663795,-0.0022813172448531427
Remove 'volume',0.6246304561663795,-0.0022813172448531427
Remove 'level',0.6251170714196239,-0.0017947019916086937
Full model (all features + scaler),0.6269117734112326,0.0
Remove 'microstructure',0.6269117734112326,0.0
Remove 'raw',0.6269117734112326,0.0
Remove 'missing_flags',0.6269117734112326,0.0
No StandardScaler,0.6272385730271977,0.0003267996159650455
Remove 'time',0.6763499253133112,0.049438151902078564
